brand,cpu_type,cpu_speed,max_cpu_speed,num_core,num_thread,cached_cpu,gpu_type,ram_type,ram,max_ram,ram_speed,storage,screen_size,resolution,scan_frequency,webcam,sd_slot,material,battery,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,saved_percent,saved_money,new_warranty,used_warranty,new_price,used_price,ppi
Apple,M1,,,,,,Intel,,16.0,,,1024.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,1,1,,1,0,0,0,0,17.0,9060000.0,12,6.0,52990000.0,43930000.0,226.98300468106115
Apple,M1,,,,,,Intel,,16.0,,,512.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,1,1,,1,0,0,0,0,17.0,7940000.0,12,3.5,44990000.0,37050000.0,226.98300468106115
Apple,M1,,,,,,Intel,,8.0,,,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,1,1,,1,0,0,0,0,18.0,6330000.0,12,3.0,34990000.0,28660000.0,226.98300468106115
Apple,M1,,,,,,Intel,,8.0,,,512.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,1,1,,1,0,0,0,0,18.0,7240000.0,12,3.0,39990000.0,32750000.0,226.98300468106115
Apple,M1,,,,,,Intel,,16.0,,,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,1,1,,1,0,0,0,0,17.0,6820000.0,12,7.0,39990000.0,33170000.0,226.98300468106115
Apple,i5,1.4,3.9,,,,Intel,LPDDR3,8.0,,2133.0,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Dolby,5.0,Wi-Fi 5,1.4,15.6,212.4,304.1,2020.0,1,1,,1,0,0,0,0,,,12,3.0,,28660000.0,226.98300468106115
Apple,,1.6,2.7,,,,Intel,DDR3L,4.0,,1600.0,,13.3,1440 x 900,,HD,SDXC,Kim loại,,,Other,4.0,Wi-Fi 5,1.35,,,,,1,1,,0,0,0,0,0,,,12,6.0,,19450000.0,127.67794013309688
Apple,i5,1.1,3.5,,,,Intel,LPDDR4X,8.0,,3733.0,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,5.0,Wi-Fi 5,1.29,16.1,212.4,304.1,2020.0,1,1,,1,0,0,0,0,18.0,,12,3.0,,26200000.0,226.98300468106115
Apple,,1.6,2.7,,,,Intel,DDR3L,4.0,,1600.0,,11.6,1366 x 768,,HD,,Kim loại,,MacOS,Other,4.0,Wi-Fi 5,1.08,17.0,192.0,300.0,,1,1,,0,0,0,0,0,,,12,6.0,,18230000.0,135.0942111925629
Apple,i5,1.6,2.7,,,,Intel,DDR3L,8.0,,1600.0,128.0,13.3,1440 x 900,,HD,SDXC,Kim loại,,MacOS,Other,4.0,Wi-Fi 5,1.35,17.0,,,,1,1,,0,0,0,0,0,,,12,3.0,,18420000.0,127.67794013309688
Apple,i7,2.6,4.5,,,,,DDR4,16.0,,2400.0,256.0,15.4,2880 x 1800,,HD,,Kim loại,,MacOS,Stereo,5.0,Wi-Fi 5,1.83,15.5,240.7,349.3,,1,1,,1,0,0,0,0,,,12,5.0,,48120000.0,220.53462386625827
Apple,i5,2.3,3.6,,,,Intel,DDR3,8.0,,2133.0,128.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,,,,1,1,,0,0,0,0,0,,,12,6.0,,28760000.0,226.98300468106115
Apple,i5,2.9,3.3,,,,Intel,DDR4,8.0,,2133.0,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,212.4,304.1,,1,1,,0,0,0,0,0,,,12,6.0,,37220000.0,226.98300468106115
Apple,i5,3.1,3.5,,,,Intel,DDR3,8.0,,2133.0,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,,,,1,1,,0,0,0,0,0,15.0,,12,6.0,,36370000.0,226.98300468106115
Asus,i5,1.6,4.2,,,,Intel,LPDDR3,8.0,,2133.0,512.0,14.0,1920 x 1080,,HD,,Hợp kim,80,Windows,Harman,5.0,Wi-Fi 6,0.995,14.9,203.0,320.0,2020.0,1,1,,1,0,0,1,0,20.0,,24,12.0,,30090000.0,157.3505121487356
Asus,i7,2.6,4.5,,,,NVIDIA RTX,DDR4,8.0,32.0,2666.0,512.0,15.6,1920 x 1080,,,,Kim loại,,Windows,Smart AMP,5.0,Wi-Fi 5,2.4,26.0,275.0,360.0,2019.0,1,0,,0,0,0,0,1,20.0,,24,6.5,,28950000.0,141.21199808219862
